Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2
Martyetal_2023,Exp_1,Epistemic,1,Training,Block_A,Nominal,Control_4,Bad,Sam,No visible box contains a yellow ball or a blue ball.,A-CD-A,a yellow ball,a grey ball and a green ball,a yellow ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,2,Training,Block_A,Nominal,Control_1,Bad,Sam,Every visible box contains a green ball.,A-CD-C,a blue ball,a blue ball and a grey ball,a green ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,3,Training,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,4,Training,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a grey ball and a yellow ball.,AB-CD-C,a green ball and a blue ball,a grey ball and a yellow ball,a green ball,grey,yellow,green,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,5,Training,Block_A,Nominal,Control_3,Good,Mia,No visible box contains a green ball.,C-CD-C,a blue ball and a yellow ball,a blue ball,a blue ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,6,Training,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,7,Training,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a blue ball.,A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,8,Training,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,29,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a green ball or a grey ball.,A-CD-C,a blue ball,a blue ball and a yellow ball,a green ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,30,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a green ball or a blue ball.,A-AC-A,a green ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,31,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a blue ball or a grey ball.,A-AB-B,a blue ball and a grey ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,32,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a grey ball or a blue ball.,A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,33,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,34,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a green ball.,A-AC-AC,a blue ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,green,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,35,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a grey ball or a blue ball.,A-CD-C,a yellow and a green ball,a grey ball,a yellow ball,grey,blue,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,36,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,37,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a blue ball.,A-AB-B,a green ball,a green ball and a blue ball,a blue ball,green,blue,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,38,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a yellow ball.,A-AC-AC,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,yellow,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,39,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,40,Test,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,41,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a blue ball or a green ball.,A-CD-A,a blue ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,42,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a grey ball.,A-AC-AD,a blue ball and a yellow ball,a blue ball and a green ball,a blue ball,blue,grey,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,43,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a blue ball or a yellow ball.,A-AB-B,a yellow ball,a blue ball and a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,44,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a yellow ball or a blue ball.,A-CD-C,a green ball and a grey ball,a yellow ball,a green ball,yellow,blue,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,45,Test,Block_A,Nominal,Control_3,Good,Mia,No visible box contains a grey ball.,C-CD-C,a yellow ball,a yellow ball and a blue ball,a yellow ball,grey,green,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,46,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a green ball or a yellow ball.,A-CD-C,a green ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,47,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a grey ball or a green ball.,A-AB-A,a grey ball,a grey ball and a green ball,a grey ball,grey,green,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,48,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a yellow ball.,A-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,49,Test,Block_A,Nominal,Control_2,Good,Mia,Every visible box contains a blue ball and a grey ball.,AB-AB-AB,a blue ball and a grey ball,a blue ball and a grey ball,a blue ball and a grey ball,blue,grey,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,50,Test,Block_A,Nominal,Control_1,Bad,Sam,Every visible box contains a green ball.,A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,51,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,52,Test,Block_A,Nominal,Control_1,Bad,Sam,Every visible box contains a green ball.,A-CD-C,a yellow ball and a blue ball,a yellow ball,a green ball,green,grey,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,53,Test,Block_A,Nominal,Control_2,Bad,Sam,Every visible box contains a green ball and a yellow ball.,AB-CD-C,a blue ball and a grey ball,a blue ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,54,Test,Block_A,Nominal,Control_3,Bad,Sam,No visible box contains a green ball.,A-CD-A,a green ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,55,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a grey ball and a green ball,a blue ball,a grey ball,blue,yellow,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,56,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a yellow ball and a blue ball.,AB-CD-C,a green ball,a yellow ball and a blue ball,a green ball and a grey ball,yellow,blue,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,57,Training,Block_B,Modal,Control_3,Good,Sam,The mystery box cannot contain a grey ball.,C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,58,Training,Block_B,Modal,Control_4,Bad,Mia,The mystery box cannot contain a blue ball or a yellow ball.,A-CD-A,a blue ball,a blue ball,a grey ball and a green ball,blue,yellow,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,59,Training,Block_B,Modal,Control_2,Good,Sam,The mystery box must contain a grey ball and a blue ball.,AB-AB-AB,a grey ball and a blue ball,a grey ball and a blue ball,a grey ball and a blue ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,60,Training,Block_B,Modal,Control_1,Bad,Mia,The mystery box must contain a yellow ball.,A-CD-C,a yellow ball,a grey ball and a green ball,a grey ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,61,Training,Block_B,Modal,Control_3,Bad,Mia,The mystery box cannot contain a yellow ball.,A-CD-A,a yellow ball,a blue ball and a grey ball,a yellow ball,yellow,green,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,62,Training,Block_B,Modal,Control_2,Bad,Mia,The mystery box must contain a blue ball and a green ball.,AB-CD-C,a grey ball and a yellow ball,a grey ball,a blue ball and a green ball,blue,green,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,63,Training,Block_B,Modal,Control_1,Good,Sam,The mystery box must contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,64,Training,Block_B,Modal,Control_4,Good,Mia,The mystery box cannot contain a yellow ball or a green ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,yellow,green,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,65,Test,Block_B,Modal,Test,Target_1,Sam,The mystery box must contain a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball and a grey ball,a blue ball,blue,grey,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,66,Test,Block_B,Modal,Test,Bad,Sam,The mystery box must contain a green ball or a yellow ball.,A-CD-C,a grey ball,a green ball,a grey ball and a blue ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,67,Test,Block_B,Modal,Test,Target_2,Sam,The mystery box must contain a yellow ball or a blue ball.,A-AC-AC,a yellow ball,a yellow ball and a grey ball,a yellow ball and a grey ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,68,Test,Block_B,Modal,Test,Good,Mia,The mystery box must contain a grey ball or a blue ball.,A-AB-B,a blue ball,a grey ball and a blue ball,a grey ball,grey,blue,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,69,Test,Block_B,Modal,Test,Target_2,Sam,The mystery box must contain a green ball or a yellow ball.,A-AC-AD,a green ball,a green ball and a grey ball,a green ball and a blue ball,green,yellow,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,70,Test,Block_B,Modal,Test,Target_1,Sam,The mystery box must contain a green ball or a grey ball.,A-AB-A,a green ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,71,Test,Block_B,Modal,Test,Good,Mia,The mystery box must contain a grey ball or a yellow ball.,A-AB-B,a yellow ball,a grey ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,72,Test,Block_B,Modal,Test,Good,Sam,The mystery box must contain a yellow ball or a green ball.,A-AB-B,a yellow and a green ball,a yellow ball,a green ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,73,Test,Block_B,Modal,Test,Target_2,Mia,The mystery box must contain a blue ball or a green ball.,A-AC-A,a blue ball,a blue ball and a yellow ball,a blue ball,blue,green,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,74,Test,Block_B,Modal,Control_3,Bad,Mia,The mystery box cannot contain a yellow ball.,A-CD-A,a grey ball and a blue ball,a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,75,Test,Block_B,Modal,Test,Bad,Sam,The mystery box must contain a yellow ball or a grey ball.,A-CD-C,a green ball and a blue ball,a green ball,a yellow ball,yellow,grey,green,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,76,Test,Block_B,Modal,Control_3,Good,Sam,The mystery box cannot contain a yellow ball.,C-CD-C,a green ball and a grey ball,a green ball,a green ball,yellow,blue,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,77,Test,Block_B,Modal,Control_4,Bad,Mia,The mystery box cannot contain a grey ball or a yellow ball.,A-CD-A,a grey ball,a blue ball and a green ball,a grey ball,grey,yellow,blue,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,78,Test,Block_B,Modal,Control_4,Good,Sam,The mystery box cannot contain a grey ball or a yellow ball.,C-CD-C,a green ball,a green ball and a blue ball,a green ball,grey,yellow,green,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,79,Test,Block_B,Modal,Control_4,Bad,Sam,The mystery box cannot contain a green ball or a grey ball.,A-CD-A,a green ball,a green ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,80,Test,Block_B,Modal,Test,Good,Sam,The mystery box must contain a blue ball or a green ball.,A-AB-B,a green ball,a blue ball and a green ball,a blue ball,blue,green,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,81,Test,Block_B,Modal,Control_1,Bad,Sam,The mystery box must contain a yellow ball.,A-CD-C,a blue ball,a yellow ball,a blue ball and a grey ball,yellow,green,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,82,Test,Block_B,Modal,Test,Bad,Mia,The mystery box must contain a blue ball or a green ball.,A-CD-C,a yellow ball,a yellow ball and a grey ball,a blue ball,blue,green,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,83,Test,Block_B,Modal,Control_3,Good,Mia,The mystery box cannot contain a yellow ball.,C-CD-C,a grey ball,a grey ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,84,Test,Block_B,Modal,Test,Target_1,Sam,The mystery box must contain a blue ball or a green ball.,A-AB-A,a blue ball,a blue ball,a blue ball and a green ball,blue,green,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,85,Test,Block_B,Modal,Test,Bad,Mia,The mystery box must contain a blue ball or a grey ball.,A-CD-C,a yellow ball,a blue ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,86,Test,Block_B,Modal,Test,Target_2,Sam,The mystery box must contain a grey ball or a blue ball.,A-AC-AC,a grey ball and a green ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,87,Test,Block_B,Modal,Control_1,Bad,Sam,The mystery box must contain a yellow ball.,A-CD-C,a grey ball,a grey ball and a blue ball,a yellow ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,88,Test,Block_B,Modal,Control_4,Good,Sam,The mystery box cannot contain a grey ball or a blue ball.,C-CD-C,a green ball,a green ball,a green ball and a yellow ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,89,Test,Block_B,Modal,Test,Target_1,Mia,The mystery box must contain a green ball or a yellow ball.,A-AB-A,a green ball and a yellow ball,a green ball,a green ball,green,yellow,blue,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,90,Test,Block_B,Modal,Test,Target_1,Mia,The mystery box must contain a yellow ball or a grey ball.,A-AB-AB,a yellow ball and a grey ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,91,Test,Block_B,Modal,Control_2,Good,Sam,The mystery box must contain a grey ball and a blue ball.,AB-AB-AB,a grey ball and a blue ball,a grey ball and a blue ball,a grey ball and a blue ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,92,Test,Block_B,Modal,Control_2,Bad,Sam,The mystery box must contain a yellow ball and a blue ball.,AB-CD-C,a grey ball and a green ball,a yellow ball and a blue ball,a grey ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,93,Test,Block_B,Modal,Control_2,Good,Mia,The mystery box must contain a yellow ball and a blue ball.,AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,94,Test,Block_B,Modal,Control_1,Good,Sam,The mystery box must contain a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,95,Test,Block_B,Modal,Control_1,Good,Sam,The mystery box must contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,96,Test,Block_B,Modal,Control_1,Bad,Sam,The mystery box must contain a grey ball.,A-CD-C,a grey ball,a blue ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,97,Test,Block_B,Modal,Control_3,Bad,Sam,The mystery box cannot contain a blue ball.,A-CD-A,a green ball and a grey ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,98,Test,Block_B,Modal,Control_2,Bad,Mia,The mystery box must contain a blue ball and a grey ball.,AB-CD-C,a blue ball and a grey ball,a yellow and a green ball,a yellow ball,blue,grey,yellow,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,99,Test,Block_B,Modal,Test,Bad,Mia,The mystery box must contain a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,100,Test,Block_B,Modal,Test,Bad,Sam,The mystery box must contain a blue ball or a green ball.,A-CD-C,a blue ball,a yellow ball,a yellow ball and a grey ball,blue,green,yellow,grey,Bad,Good
Martyetal_2023,Exp_1,Epistemic,101,Test,Block_B,Modal,Control_3,Bad,Mia,The mystery box cannot contain a grey ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,102,Test,Block_B,Modal,Test,Target_2,Mia,The mystery box must contain a grey ball or a blue ball.,A-AC-A,a grey ball,a grey ball and a green ball,a grey ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,103,Test,Block_B,Modal,Test,Good,Sam,The mystery box must contain a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,grey,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,104,Test,Block_B,Modal,Control_4,Good,Sam,The mystery box cannot contain a green ball or a grey ball.,C-CD-C,a yellow ball and a blue ball,a yellow ball,a yellow ball,green,grey,yellow,blue,Bad,Good
Martyetal_2023,Exp_1,Epistemic,105,Test,Block_B,Modal,Control_2,Good,Sam,The mystery box must contain a grey ball and a blue ball.,AB-AB-AB,a grey ball and a blue ball,a grey ball and a blue ball,a grey ball and a blue ball,grey,blue,green,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,106,Test,Block_B,Modal,Control_2,Bad,Mia,The mystery box must contain a blue ball and a green ball.,AB-CD-C,a blue ball and a green ball,a grey ball,a grey ball and a yellow ball,blue,green,grey,yellow,Bad,Good
Martyetal_2023,Exp_1,Epistemic,107,Test,Block_B,Modal,Control_4,Bad,Mia,The mystery box cannot contain a yellow ball or a blue ball.,A-CD-A,a yellow ball,a grey ball and a green ball,a yellow ball,yellow,blue,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,108,Test,Block_B,Modal,Control_1,Good,Sam,The mystery box must contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,grey,green,Bad,Good
Martyetal_2023,Exp_1,Epistemic,109,Test,Block_B,Modal,Test,Target_2,Mia,The mystery box must contain a green ball or a blue ball.,A-AC-AD,a green ball,a green ball and a grey ball,a green ball and a yellow ball,green,blue,grey,yellow,Bad,Good
