model,Deganoetal_2024_Exp_1,Deganoetal_2024_Exp_2,Deganoetal_2024_Exp_3,Martyetal_2023_Exp_1,Martyetal_2023_Exp_2,Martyetal_2022_Exp_4,Martyetal_2022_Exp_5,Martyetal_2022_Exp_6
ChatGPT,0.71,0.67,0.79,0.67,0.85,0.83,0.83,0.88
pythia-2.8b,0.42,0.42,0.5,0.5,0.5,0.5,0.5,0.5
pythia-6.9b,0.46,0.56,0.46,0.62,0.56,0.5,0.5,0.5
pythia-12b,0.62,0.5,0.67,0.5,0.44,0.5,0.5,0.5
phi-2,0.83,0.79,0.71,0.5,0.58,0.5,0.5,0.5
falcon-7b,0.46,0.54,0.62,0.54,0.6,0.4,0.52,0.52
Mistral,0.58,0.62,0.54,0.77,0.6,0.56,0.52,0.58
Mistral-Inst.,0.67,0.62,0.62,0.75,0.75,0.65,0.67,0.54
Mixtral,0.54,0.5,0.54,0.77,0.88,0.73,0.67,0.5
Mixtral-Inst.,0.71,0.75,0.79,0.67,0.75,0.65,0.67,0.56
L-7b,0.67,0.62,0.58,0.58,0.54,0.48,0.54,0.54
L-13b,0.79,0.83,0.75,0.67,0.6,0.52,0.48,0.54
L-70b,0.96,0.83,0.92,0.83,0.9,0.73,0.65,0.6
L-7b-chat,0.5,0.5,0.5,0.69,0.54,0.54,0.54,0.6
L-13b-chat,0.5,0.5,0.5,0.5,0.5,0.46,0.46,0.54
L-70b-chat,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5